'Lingue e culture per la comunicazione e la cooperazione internazionale (LIN)','https://www.unimi.it/it/corsi/corsi-di-laurea/lingue-e-culture-la-comunicazione-e-la-cooperazione-internazionale-lin','Laurea magistrale','unimi'
'Lingue e letterature europee ed extraeuropee','https://www.unimi.it/it/corsi/corsi-di-laurea/lingue-e-letterature-europee-ed-extraeuropee','Laurea magistrale','unimi'
'Management delle aziende sanitarie e del settore salute (MASS)','https://www.unimi.it/it/corsi/corsi-di-laurea/management-delle-aziende-sanitarie-e-del-settore-salute-mass','Laurea magistrale','unimi'
'Management of Human Resources (MHR)','https://www.unimi.it/it/corsi/corsi-di-laurea/management-human-resources-mhr','Laurea magistrale','unimi'
'Management of Innovation and Entrepreneurship (MIE) ','https://www.unimi.it/it/corsi/corsi-di-laurea/management-innovation-and-entrepreneurship-mie','Laurea magistrale','unimi'
'Matematica','https://www.unimi.it/it/corsi/corsi-di-laurea/matematica','Laurea magistrale','unimi'
'Medical Biotechnology and Molecular Medicine','https://www.unimi.it/it/corsi/corsi-di-laurea/medical-biotechnology-and-molecular-medicine','Laurea magistrale','unimi'
'Molecular Biology of the Cell ','https://www.unimi.it/it/corsi/corsi-di-laurea/molecular-biology-cell','Laurea magistrale','unimi'
'Molecular Biotechnology and Bioinformatics','https://www.unimi.it/it/corsi/corsi-di-laurea/molecular-biotechnology-and-bioinformatics','Laurea magistrale','unimi'
'Plant Science','https://www.unimi.it/it/corsi/corsi-di-laurea/plant-science','Laurea magistrale','unimi'
'Politics, Philosophy and Public Affairs  (PPPA)','https://www.unimi.it/it/corsi/corsi-di-laurea/politics-philosophy-and-public-affairs-pppa','Laurea magistrale','unimi'
'Progettazione delle aree verdi e del paesaggio - Interateneo','https://www.unimi.it/it/corsi/corsi-di-laurea/progettazione-delle-aree-verdi-e-del-paesaggio-interateneo','Laurea magistrale','unimi'
'Quantitative Biology','https://www.unimi.it/it/corsi/corsi-di-laurea/quantitative-biology','Laurea magistrale','unimi'
'Relazioni internazionali (REL)','https://www.unimi.it/it/corsi/corsi-di-laurea/relazioni-internazionali-rel','Laurea magistrale','unimi'
'Safety Assessment of Xenobiotics and Biotechnological Products ','https://www.unimi.it/it/corsi/corsi-di-laurea/safety-assessment-xenobiotics-and-biotechnological-products','Laurea magistrale','unimi'
'Scienza dell'attività fisica per il benessere','https://www.unimi.it/it/corsi/corsi-di-laurea/scienza-dellattivita-fisica-il-benessere','Laurea magistrale','unimi'
